word	type
腭弓	2
腮腺	2
腰大肌	2
腰方肌	2
腰椎	2
腹	2
腹内斜肌	2
腹壁	2
腹壁静脉	2
腹水	2
腹泻	2
腹痛	2
腹直肌	2
腹肌	2
腹股沟	2
腹腔	2
腹腔动脉	2
腹腔淋巴结	2
腹腔镜检查	2
腹膜腔	2
腹膜透析	2
腹部	2
腹部CT	2
腹部增强CT	2
腹部平片	2
腹部肌肉	2
腹部血管CTA	2
腺病毒	2
腺癌	2
膀胱	2
膀胱侧壁	2
膀胱前壁	2
膀胱后壁	2
膀胱壁	2
膈神经	2
膈肌	2
膝关节	2
膝关节韧带	2
臀部	2
臂部	2
舌下神经	2
舌下腺	2
舌咽神经	2
舌尖	2
舌扁桃体	2
舌面	2
葡萄糖	2
葡萄膜	2
虹膜	2
蛛网膜	2
蛛网膜下腔	2
蝶窦	2
蝶骨	2
血压	2
血塞通	2
血小板	2
血液	2
血液透析	2
血管	2
血糖	2
视交叉	2
视神经	2
视网膜	2
视网膜中央动脉	2
视觉检查	2
视轴矫正训练	2
角膜	2
角膜炎	2
谷氨酰胺	2
豆状核	2
贝伐珠单抗	2
贵要静脉	2
超声心动图	2
足底	2
足背	2
足背动脉	2
足跟	2
趾甲	2
跟腱	2
踝关节	2
躯干	2
软脊膜	2
软腭	2
软骨	2
输卵管	2
输卵管造影	2
输精管	2
近端指间关节	2
迷走神经	2
迷路	2
造血系统	2
锁骨	2
门静脉	2
闭孔内肌	2
阑尾	2
阴唇	2
阴囊	2
阴囊皮肤	2
阴茎	2
阴茎冠状沟	2
阴蒂	2
阴道	2
阴道口	2
阿司匹林肠溶片	2
附睾	2
降主动脉	2
降结肠	2
隆突	2
隔离	2
青年期	2
静脉	2
面神经	2
面神经颊支	2
鞘膜	2
顶叶	2
顶骨	2
项韧带	2
颅内动脉	2
颅底	2
颅腔	2
颅骨	2
颈内动脉	2
颈内静脉	2
颈前	2
颈动脉	2
颈动脉体	2
颈后三角	2
颈外动脉	2
颈椎	2
颈椎间盘突出	2
颈淋巴结	2
颈神经	2
颈脊髓	2
颈静脉	2
颊黏膜	2
额叶	2
额窦	2
额骨	2
颞下颌关节	2
颞叶	2
颞骨	2
颧骨	2
食管	2
骨盆	2
骨膜	2
骨骼肌	2
骨髓	2
骨髓穿刺	2
骶髂关节	2
髂外动脉	2
髂总动脉	2
髂静脉	2
髂骨	2
髋关节	2
髌股关节	2
髌骨	2
鼓膜	2
鼻中隔	2
鼻前庭	2
鼻咽	2
鼻孔	2
鼻尖	2
鼻甲	2
鼻窦	2
鼻窦炎	2
鼻翼	2
鼻腔	2
鼻骨	2
鼻黏膜	2
龟头	2
